Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2023,1,Ciutat Vella,1,el Raval,1,17113
2023,1,Ciutat Vella,1,el Raval,2,13081
2023,1,Ciutat Vella,1,el Raval,3,12707
2023,1,Ciutat Vella,1,el Raval,4,16040
2023,1,Ciutat Vella,1,el Raval,5,13549
2023,1,Ciutat Vella,1,el Raval,6,14731
2023,1,Ciutat Vella,1,el Raval,7,13194
2023,1,Ciutat Vella,1,el Raval,8,10120
2023,1,Ciutat Vella,1,el Raval,9,13797
2023,1,Ciutat Vella,1,el Raval,10,11900
2023,1,Ciutat Vella,1,el Raval,11,11784
2023,1,Ciutat Vella,1,el Raval,12,15420
2023,1,Ciutat Vella,1,el Raval,13,14826
2023,1,Ciutat Vella,1,el Raval,14,14635
2023,1,Ciutat Vella,1,el Raval,15,14058
2023,1,Ciutat Vella,1,el Raval,16,14344
2023,1,Ciutat Vella,1,el Raval,17,11925
2023,1,Ciutat Vella,1,el Raval,18,13843
2023,1,Ciutat Vella,1,el Raval,19,13935
2023,1,Ciutat Vella,1,el Raval,20,21686
2023,1,Ciutat Vella,1,el Raval,21,21416
2023,1,Ciutat Vella,2,el Barri Gòtic,22,29236
2023,1,Ciutat Vella,2,el Barri Gòtic,23,22779
2023,1,Ciutat Vella,2,el Barri Gòtic,25,20733
2023,1,Ciutat Vella,2,el Barri Gòtic,26,22205
2023,1,Ciutat Vella,2,el Barri Gòtic,27,19720
2023,1,Ciutat Vella,2,el Barri Gòtic,28,19674
2023,1,Ciutat Vella,2,el Barri Gòtic,29,17379
2023,1,Ciutat Vella,2,el Barri Gòtic,30,17503
2023,1,Ciutat Vella,2,el Barri Gòtic,31,17004
2023,1,Ciutat Vella,3,la Barceloneta,32,21551
2023,1,Ciutat Vella,3,la Barceloneta,33,17216
2023,1,Ciutat Vella,3,la Barceloneta,34,18541
2023,1,Ciutat Vella,3,la Barceloneta,35,18068
2023,1,Ciutat Vella,3,la Barceloneta,36,18313
2023,1,Ciutat Vella,3,la Barceloneta,37,19503
2023,1,Ciutat Vella,3,la Barceloneta,38,16995
2023,1,Ciutat Vella,3,la Barceloneta,39,19763
2023,1,Ciutat Vella,3,la Barceloneta,40,21002
2023,1,Ciutat Vella,3,la Barceloneta,41,18864
2023,1,Ciutat Vella,3,la Barceloneta,42,18853
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,27497
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,24567
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,21257
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,20338
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,20074
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,15420
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,21124
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,19248
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,17710
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,27159
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,18097
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,20498
2023,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,24969
2023,2,L'Eixample,5,el Fort Pienc,1,25304
2023,2,L'Eixample,5,el Fort Pienc,2,26015
2023,2,L'Eixample,5,el Fort Pienc,3,28734
2023,2,L'Eixample,5,el Fort Pienc,4,23134
2023,2,L'Eixample,5,el Fort Pienc,5,28228
2023,2,L'Eixample,5,el Fort Pienc,6,29550
2023,2,L'Eixample,5,el Fort Pienc,7,33301
2023,2,L'Eixample,5,el Fort Pienc,8,28005
2023,2,L'Eixample,5,el Fort Pienc,9,27408
2023,2,L'Eixample,5,el Fort Pienc,10,25412
2023,2,L'Eixample,5,el Fort Pienc,11,26641
2023,2,L'Eixample,5,el Fort Pienc,12,20845
2023,2,L'Eixample,5,el Fort Pienc,13,23111
2023,2,L'Eixample,5,el Fort Pienc,14,22607
2023,2,L'Eixample,5,el Fort Pienc,15,22641
2023,2,L'Eixample,5,el Fort Pienc,16,28873
2023,2,L'Eixample,5,el Fort Pienc,17,29446
2023,2,L'Eixample,5,el Fort Pienc,18,28687
2023,2,L'Eixample,5,el Fort Pienc,19,26625
2023,2,L'Eixample,5,el Fort Pienc,20,25479
2023,2,L'Eixample,6,la Sagrada Família,21,24976
2023,2,L'Eixample,6,la Sagrada Família,22,24923
2023,2,L'Eixample,6,la Sagrada Família,23,26772
2023,2,L'Eixample,6,la Sagrada Família,24,23150
