Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,1246
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,1238
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,3406
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,2881
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,2294
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,1579
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,1911
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,3092
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,2134
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,2297
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,3053
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,1875
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,1453
2023-01-01,1,Ciutat Vella,1,el Raval,6,1014,1834
2023-01-01,1,Ciutat Vella,1,el Raval,6,1015,2279
2023-01-01,1,Ciutat Vella,1,el Raval,6,1016,2033
2023-01-01,1,Ciutat Vella,1,el Raval,6,1017,2498
2023-01-01,1,Ciutat Vella,1,el Raval,7,1018,1524
2023-01-01,1,Ciutat Vella,1,el Raval,7,1019,2669
2023-01-01,1,Ciutat Vella,1,el Raval,7,1020,2233
2023-01-01,1,Ciutat Vella,1,el Raval,8,1021,2142
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1772
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1966
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1314
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,10671
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1441
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1903
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1385
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2449
2023-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1559
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1722
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1050
2023-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,935
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1155
2023-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1156
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1276
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1408
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1315
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1081
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1435
2023-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1741
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1611
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1452
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1914
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1797
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1719
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2066
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1480
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1581
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1675
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2367
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1834
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1264
2023-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1281
2023-01-01,2,Eixample,5,el Fort Pienc,20,2001,1341
2023-01-01,2,Eixample,5,el Fort Pienc,20,2002,4738
2023-01-01,2,Eixample,5,el Fort Pienc,20,2003,1145
2023-01-01,2,Eixample,5,el Fort Pienc,20,2004,1526
2023-01-01,2,Eixample,5,el Fort Pienc,20,2005,1990
2023-01-01,2,Eixample,5,el Fort Pienc,20,2006,1621
2023-01-01,2,Eixample,5,el Fort Pienc,20,2007,1211
2023-01-01,2,Eixample,5,el Fort Pienc,20,2008,1903
2023-01-01,2,Eixample,5,el Fort Pienc,20,2009,1780
2023-01-01,2,Eixample,5,el Fort Pienc,21,2010,1214
2023-01-01,2,Eixample,5,el Fort Pienc,21,2011,1115
2023-01-01,2,Eixample,5,el Fort Pienc,21,2012,1586
2023-01-01,2,Eixample,5,el Fort Pienc,21,2013,1151
2023-01-01,2,Eixample,5,el Fort Pienc,22,2014,1364
2023-01-01,2,Eixample,5,el Fort Pienc,22,2015,1564
2023-01-01,2,Eixample,5,el Fort Pienc,22,2016,1843
2023-01-01,2,Eixample,5,el Fort Pienc,22,2017,1941
2023-01-01,2,Eixample,5,el Fort Pienc,22,2018,1819
2023-01-01,2,Eixample,5,el Fort Pienc,22,2019,1983
2023-01-01,2,Eixample,5,el Fort Pienc,22,2020,1568
2023-01-01,2,Eixample,6,la Sagrada Família,23,2021,1526
2023-01-01,2,Eixample,6,la Sagrada Família,23,2022,1294
2023-01-01,2,Eixample,6,la Sagrada Família,23,2023,1046
2023-01-01,2,Eixample,6,la Sagrada Família,23,2024,1147
2023-01-01,2,Eixample,6,la Sagrada Família,24,2025,1128
2023-01-01,2,Eixample,6,la Sagrada Família,24,2026,2054
2023-01-01,2,Eixample,6,la Sagrada Família,24,2027,2072
2023-01-01,2,Eixample,6,la Sagrada Família,24,2028,2036
2023-01-01,2,Eixample,6,la Sagrada Família,24,2029,1217
2023-01-01,2,Eixample,6,la Sagrada Família,24,2030,1367
2023-01-01,2,Eixample,6,la Sagrada Família,24,2031,1029
2023-01-01,2,Eixample,6,la Sagrada Família,24,2032,1196
2023-01-01,2,Eixample,6,la Sagrada Família,25,2033,1156
2023-01-01,2,Eixample,6,la Sagrada Família,25,2034,1198
2023-01-01,2,Eixample,6,la Sagrada Família,25,2035,1270
2023-01-01,2,Eixample,6,la Sagrada Família,25,2036,1202
2023-01-01,2,Eixample,6,la Sagrada Família,25,2037,1138
2023-01-01,2,Eixample,6,la Sagrada Família,25,2038,1522
2023-01-01,2,Eixample,6,la Sagrada Família,25,2039,1769
2023-01-01,2,Eixample,6,la Sagrada Família,25,2040,1763
2023-01-01,2,Eixample,6,la Sagrada Família,26,2041,1663
2023-01-01,2,Eixample,6,la Sagrada Família,26,2042,1662
2023-01-01,2,Eixample,6,la Sagrada Família,26,2043,1489
2023-01-01,2,Eixample,6,la Sagrada Família,26,2044,1287
2023-01-01,2,Eixample,6,la Sagrada Família,26,2045,1152
2023-01-01,2,Eixample,6,la Sagrada Família,26,2046,1966
2023-01-01,2,Eixample,6,la Sagrada Família,26,2047,1955
2023-01-01,2,Eixample,6,la Sagrada Família,26,2048,1284
2023-01-01,2,Eixample,6,la Sagrada Família,27,2049,2023
2023-01-01,2,Eixample,6,la Sagrada Família,27,2050,1637
2023-01-01,2,Eixample,6,la Sagrada Família,27,2051,1874
2023-01-01,2,Eixample,6,la Sagrada Família,27,2052,1789
2023-01-01,2,Eixample,6,la Sagrada Família,27,2053,1898
2023-01-01,2,Eixample,6,la Sagrada Família,27,2054,1903
2023-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2055,1828
2023-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2056,1528
2023-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2057,1260
2023-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2058,1411
2023-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2059,1720
2023-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2060,1624
2023-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2061,1354
