Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2024,1,Ciutat Vella,1,el Raval,1,1001,9
2024,1,Ciutat Vella,1,el Raval,1,1002,18
2024,1,Ciutat Vella,1,el Raval,2,1003,22
2024,1,Ciutat Vella,1,el Raval,2,1004,9
2024,1,Ciutat Vella,1,el Raval,3,1005,17
2024,1,Ciutat Vella,1,el Raval,3,1006,8
2024,1,Ciutat Vella,1,el Raval,3,1007,..
2024,1,Ciutat Vella,1,el Raval,4,1008,24
2024,1,Ciutat Vella,1,el Raval,4,1009,8
2024,1,Ciutat Vella,1,el Raval,4,1010,8
2024,1,Ciutat Vella,1,el Raval,5,1011,9
2024,1,Ciutat Vella,1,el Raval,5,1012,6
2024,1,Ciutat Vella,1,el Raval,5,1013,14
2024,1,Ciutat Vella,1,el Raval,6,1014,12
2024,1,Ciutat Vella,1,el Raval,6,1015,9
2024,1,Ciutat Vella,1,el Raval,6,1016,10
2024,1,Ciutat Vella,1,el Raval,6,1017,..
2024,1,Ciutat Vella,1,el Raval,7,1018,14
2024,1,Ciutat Vella,1,el Raval,7,1019,9
2024,1,Ciutat Vella,1,el Raval,7,1020,14
2024,1,Ciutat Vella,1,el Raval,8,1021,11
2024,1,Ciutat Vella,2,el Barri Gòtic,9,1022,5
2024,1,Ciutat Vella,2,el Barri Gòtic,9,1023,13
2024,1,Ciutat Vella,2,el Barri Gòtic,10,1025,5
2024,1,Ciutat Vella,2,el Barri Gòtic,10,1026,31
2024,1,Ciutat Vella,2,el Barri Gòtic,10,1027,13
2024,1,Ciutat Vella,2,el Barri Gòtic,11,1028,8
2024,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..
2024,1,Ciutat Vella,2,el Barri Gòtic,12,1030,27
2024,1,Ciutat Vella,2,el Barri Gòtic,12,1031,5
2024,1,Ciutat Vella,3,la Barceloneta,13,1032,12
2024,1,Ciutat Vella,3,la Barceloneta,13,1033,15
2024,1,Ciutat Vella,3,la Barceloneta,13,1034,5
2024,1,Ciutat Vella,3,la Barceloneta,14,1035,8
2024,1,Ciutat Vella,3,la Barceloneta,14,1036,10
2024,1,Ciutat Vella,3,la Barceloneta,15,1037,9
2024,1,Ciutat Vella,3,la Barceloneta,15,1038,8
2024,1,Ciutat Vella,3,la Barceloneta,15,1039,6
2024,1,Ciutat Vella,3,la Barceloneta,15,1040,5
2024,1,Ciutat Vella,3,la Barceloneta,15,1041,..
2024,1,Ciutat Vella,3,la Barceloneta,15,1042,32
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,7
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,5
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,19
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,6
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,14
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,13
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,6
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,7
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,11
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,16
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,15
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,11
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,9
2024,2,Eixample,5,el Fort Pienc,20,2001,7
2024,2,Eixample,5,el Fort Pienc,20,2002,37
